timestamp,status,p_mean,trade_pnl,weekly_bullish_int,k_below_thr,d_below_thr,kd_spread,dow,hour_bin,body,true_range_norm,atr_norm,top_pos_drivers,top_neg_drivers
2018-04-17 04:00:00+00:00,accepted,0.5035892477033745,-1000.01,1,1,1,0.8121821949064945,1,4,0.010880450208577823,0.02614257014542084,0.020901400143762027,kd_spread:+1.44; dow:+1.19,lower_wick:-0.67; atr_norm:-0.55
2018-05-27 12:00:00+00:00,rejected,0.45019232638822293,-980.01,1,1,1,0.6076084755114408,6,12,0.001089621356578589,0.012793516752928273,0.01946161030470483,kd_spread:+1.54; k_below_thr:+0.39,dow:-1.30; hour_bin:-0.24
2018-07-03 00:00:00+00:00,accepted,0.5443877167649404,-705.86,1,1,1,0.08747320933770553,1,0,0.004471030850263361,0.011089541008276839,0.016075352036977318,dow:+1.29; kd_spread:+1.02,atr_norm:-0.56; true_range_norm:-0.49
2018-08-21 20:00:00+00:00,rejected,0.46488582279505103,2022.19,1,1,1,1.8777348423715026,1,20,0.006483024691358058,0.014109567901234613,0.017074074074074075,dow:+0.89; kd_spread:+0.74,hour_bin:-0.97; atr_norm:-0.55
2018-09-18 08:00:00+00:00,accepted,0.4938482159289957,-986.7,1,1,1,1.357924550221707,1,8,-0.0008413318171335816,0.009919445261743386,0.013096080638803282,dow:+1.33; kd_spread:+1.24,body:-0.88; upper_wick:-0.60
2018-09-20 00:00:00+00:00,accepted,0.4833312445792795,840.68,1,1,1,1.357924550221707,3,0,0.0008269126458234602,0.008280068591544272,0.015645910779631463,kd_spread:+1.34; k_below_thr:+0.45,dow:-1.40; atr_norm:-0.32
2018-10-24 04:00:00+00:00,accepted,0.48742186179874725,-983.83,1,1,1,0.30791681075332633,2,4,0.004388180803334973,0.009053175493954017,0.006724783897167852,kd_spread:+1.50; atr_norm:+0.79,dow:-0.91; upper_wick:-0.60
2018-12-28 12:00:00+00:00,accepted,0.543263466982004,-964.13,1,1,1,0.4034949642113155,4,12,0.047173748804674565,0.06656839903000333,0.023782541720347813,kd_spread:+1.39; body:+0.87,dow:-0.92; lower_wick:-0.63
2019-01-14 12:00:00+00:00,accepted,0.5619554298895377,-944.83,1,1,1,1.232696047026561,0,12,0.03915747263824087,0.04406523858572617,0.015115360433979638,kd_spread:+1.35; true_range_norm:+0.89,dow:-1.00; upper_wick:-0.26
2019-02-16 00:00:00+00:00,accepted,0.4799070873258411,46985.46,1,1,1,0.5474347362726348,5,0,0.005831185389196469,0.007870582456217811,0.008093327351417327,kd_spread:+1.50; hour_bin:+0.44,dow:-1.16; lower_wick:-0.60
2019-11-02 12:00:00+00:00,rejected,0.4425976658356975,-1865.68,1,1,1,2.7977228330901767,5,12,0.008822053202579073,0.018523523330287478,0.015586592538254654,lower_wick:+0.47; k_below_thr:+0.41,true_range_norm:-0.85; dow:-0.64
2019-11-10 16:00:00+00:00,accepted,0.499663485696484,-1828.35,1,1,1,3.616562081498145,6,16,0.027440544014393973,0.03976662993781142,0.014435797892672065,body:+1.59; true_range_norm:+1.09,dow:-0.39; lower_wick:-0.27
2019-11-16 20:00:00+00:00,rejected,0.46317366604932053,-1791.82,1,1,1,2.4593222654540234,5,20,0.002204682122995961,0.004580132893339012,0.011307912863909664,upper_wick:+0.72; kd_spread:+0.63,dow:-0.58; true_range_norm:-0.58
2019-11-26 00:00:00+00:00,accepted,0.5478173382229939,191.28,1,1,1,0.8929579800923477,1,0,0.018750043128135496,0.02689539529523798,0.030046262934743936,kd_spread:+1.37; dow:+1.25,body:-0.49; true_range_norm:-0.48
2019-12-31 00:00:00+00:00,accepted,0.5044443422469737,-1759.78,1,1,1,2.205212796143446,1,0,-0.0013280102371485882,0.009535141140817452,0.010330822018003043,dow:+1.42; hour_bin:+1.21,body:-0.84; lower_wick:-0.83
2020-01-03 04:00:00+00:00,accepted,0.5399572918608508,8118.36,1,1,1,2.205212796143446,4,4,0.034869176381085665,0.043879048368713355,0.012690373954310451,true_range_norm:+1.10; body:+0.74,dow:-1.18; hour_bin:-0.30
2020-04-14 08:00:00+00:00,accepted,0.5043796815870105,14228.78,1,1,1,0.0871824162392798,1,8,0.0014719192948846444,0.018121450184685667,0.022046777532423033,dow:+1.26; kd_spread:+1.26,true_range_norm:-0.71; atr_norm:-0.56
2020-10-13 00:00:00+00:00,accepted,0.48607600748874924,33606.58,1,1,1,3.755608476310371,1,0,-0.006109140670818555,0.011508748289440682,0.012124462395620962,dow:+1.34; hour_bin:+1.30,body:-1.01; upper_wick:-0.86
2021-07-27 00:00:00+00:00,accepted,0.4902142081423627,2669.2,1,1,1,3.081018579262084,1,0,-0.01133859080268736,0.03097860622749417,0.03646201641329794,dow:+1.32; hour_bin:+1.05,body:-1.38; lower_wick:-0.68
2022-02-08 00:00:00+00:00,accepted,0.5498773822977863,-2897.03,1,1,1,0.30677894404394834,1,0,0.007663896771670105,0.014244010161487772,0.016121633504337384,dow:+1.34; kd_spread:+1.34,lower_wick:-0.66; atr_norm:-0.55
2022-02-24 20:00:00+00:00,accepted,0.5141424193824647,1302.83,1,1,1,3.6607672174749872,3,20,0.026801063787319744,0.0667144830004585,0.03144250707078788,body:+1.25; true_range_norm:+1.16,atr_norm:-0.48; dow:-0.33
2022-06-21 04:00:00+00:00,accepted,0.5533209651627158,-626.65,1,1,1,0.016542807751298128,1,4,0.02396937919383635,0.04065239665383225,0.04203593485908873,dow:+0.93; true_range_norm:+0.65,lower_wick:-0.61; hour_bin:-0.22
2022-07-19 00:00:00+00:00,accepted,0.5049597484136729,-2852.61,1,1,1,1.225017478458291,1,0,-0.02415270583992104,0.0526973938014615,0.03217932383432957,kd_spread:+1.19; dow:+1.15,body:-1.72; upper_wick:-0.28
2022-08-29 12:00:00+00:00,accepted,0.5466630048699513,30.16,1,1,1,0.8752195899006807,0,12,0.021620469167339416,0.02858760218494661,0.014049328534174284,kd_spread:+1.50; body:+1.22,dow:-1.46; lower_wick:-0.25
2022-09-06 08:00:00+00:00,accepted,0.5063591116580607,-2796.15,1,1,1,1.0999046066518368,1,8,0.0005748473893143012,0.008542884870368141,0.012374674841859584,kd_spread:+1.48; dow:+1.21,hour_bin:-0.40; upper_wick:-0.24
2022-09-07 20:00:00+00:00,accepted,0.5085497417447864,-2740.26,1,1,1,1.0999046066518368,2,20,0.01557417155794591,0.02468117705843214,0.018716010706562636,kd_spread:+1.48; body:+0.75,dow:-0.52; atr_norm:-0.46
2022-09-19 12:00:00+00:00,accepted,0.5451912866742626,623.62,1,1,1,0.2797560417195939,0,12,0.02068709975477575,0.039674557624044156,0.01958765958616064,kd_spread:+1.36; body:+1.21,dow:-0.77; atr_norm:-0.56
2022-10-11 08:00:00+00:00,accepted,0.5182398178575336,-2697.93,1,1,1,0.3848555050528155,1,8,0.003727743180422846,0.006667126108403227,0.009099892478700094,kd_spread:+1.55; dow:+1.25,hour_bin:-0.34; atr_norm:-0.24
2022-10-13 16:00:00+00:00,accepted,0.5233619491738236,435.86,1,1,1,0.3848555050528155,3,16,0.021236513897306783,0.03194176130643663,0.01426116225155357,kd_spread:+1.33; body:+1.23,dow:-0.42; lower_wick:-0.38
2022-11-01 00:00:00+00:00,accepted,0.5077824404465339,-1364.57,1,1,1,2.5902699020236355,1,0,-0.0003988757270206762,0.007275942423240777,0.01105996115582313,dow:+1.27; hour_bin:+1.16,body:-0.54; lower_wick:-0.45
2022-12-20 08:00:00+00:00,accepted,0.514634779929906,24200.5,1,1,1,0.27752849456777007,1,8,0.0007148698276759556,0.005628559109088982,0.009743266234635199,dow:+1.34; kd_spread:+1.32,upper_wick:-0.70; true_range_norm:-0.54
2023-10-03 00:00:00+00:00,accepted,0.5039099866065623,34018.78,1,1,1,3.2690416255997548,1,0,0.003878043080913966,0.009366140669636322,0.013191961010471194,dow:+1.27; hour_bin:+1.04,upper_wick:-0.93; body:-0.30
2024-07-23 00:00:00+00:00,accepted,0.5133283848136497,-3789.76,1,1,1,1.5894371104372738,1,0,-0.000859738693383847,0.008403238047727723,0.01347498071902542,dow:+1.37; hour_bin:+1.13,body:-0.54; upper_wick:-0.25
2024-08-01 20:00:00+00:00,accepted,0.5478247342302808,-3713.97,1,1,1,0.6479358946730471,3,20,0.02956222126810248,0.03554746900037669,0.01740558576197761,kd_spread:+1.51; body:+1.26,atr_norm:-0.40; dow:-0.37
2024-08-06 16:00:00+00:00,accepted,0.5047957885534663,3251.64,1,1,1,0.5910421070580227,1,16,0.006332898092291393,0.014202117202215061,0.048171441516921897,kd_spread:+1.59; dow:+0.99,hour_bin:-0.86; atr_norm:-0.44
2024-09-10 00:00:00+00:00,accepted,0.51732114852783,36060.25,1,1,1,0.383302536398233,1,0,-0.009151214140923144,0.00959721353870882,0.014268493002229762,dow:+1.35; kd_spread:+1.13,body:-1.53; lower_wick:-0.33
2025-04-08 08:00:00+00:00,accepted,0.518149755239278,-4425.93,1,1,1,0.47985798299637494,1,8,0.006076242154484824,0.015728538921257283,0.027242459910622765,kd_spread:+1.64; dow:+1.40,upper_wick:-0.66; true_range_norm:-0.28
2025-04-09 12:00:00+00:00,accepted,0.5243252031487667,24454.65,1,1,1,0.47985798299637494,2,12,0.01330593595485264,0.02987716482435476,0.0293588458707929,kd_spread:+1.49; true_range_norm:+0.69,dow:-0.58; upper_wick:-0.46
2025-09-30 00:00:00+00:00,accepted,0.5004984397049401,-4826.5,1,1,1,4.162016031982603,1,0,0.0005632281277630659,0.006571723412497931,0.006698560278542989,dow:+1.21; hour_bin:+1.03,kd_spread:-1.49; upper_wick:0.08
